id,text,group_label,department_label,created_at,text_clean
1,Полное сканирование зависло на пожалуйста файле отчёт_финансы.xlsx,Security,Antivirus,2026-04-20T20:50:48.059271,полный сканирование зависнуть пожалуйста файл отчётфинансыxlsx
2,Медленная помогите работа 1С при открытии справочника Цены,BusinessApps,1C,2026-04-20T20:50:48.059348,медленный помочь работа открытие справочник цена
3,Ошибка при экспорте данных из CRM в Excel,BusinessApps,CRM,2026-04-20T20:50:48.059377,ошибка экспорт данные crm excel
4,"Не открывается документ в СЭД, ошибка формата .docx",BusinessApps,DocumentFlow,2026-04-20T20:50:48.059408,открываться документ сэд ошибка формат docx
5,"Наушники не определяются, звук идёт через динамики",Workplace,Periphery,2026-04-20T20:50:48.059438,наушник определяться звук идти динамика
6,Ошибка подключения к базе 1С через COM-соединение,BusinessApps,1C,2026-04-20T20:50:48.059471,ошибка подключение база comсоединение
7,Токен для двухфакторной аутентификации не опять принимается,Workplace,RemoteAccess,2026-04-20T20:50:48.059499,токен двухфакторный аутентификация приниматься
8,"Бэкап не завершился, статус: Failed",Infrastructure,Backup,2026-04-20T20:50:48.059535,бэкап завершиться статус failed
9,Не работает поиск по реквизитам в системе документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.059563,работать поиск реквизит система документооборот
10,Веб-камера показывает чёрный экран в конференциях,Workplace,Periphery,2026-04-20T20:50:48.059593,вебкамера показывать чёрный экран конференция
11,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.059618,пропадать звук выход спать режим
12,Некорректно считается uptime сервиса Elasticsearch,Infrastructure,Monitoring,2026-04-20T20:50:48.059651,некорректно считаться uptime сервис elasticsearch
13,"Картридж в принтере закончился, уже требуется замена",Workplace,Periphery,2026-04-20T20:50:48.059703,картридж принтер закончиться требоваться замена
14,Сессия в Terminal Server обрывается через 15 минут,Workplace,RemoteAccess,2026-04-20T20:50:48.059734,сессия terminal server обрываться минута
15,Требуется добавить исключение для папки /opt/custom в антивирусе,Security,Antivirus,2026-04-20T20:50:48.059764,требоваться добавить исключение папка optcustom антивирус
16,Падение Photoshop при обработке файла большого размера,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.059796,падение photoshop обработка файл большой размер
17,Требуется настроить помогите новое правило DLP для защиты финансовая отчётность,Security,DLP,2026-04-20T20:50:48.059834,требоваться настроить помочь новый правило dlp защита финансовый отчётность
18,Маршрутизатор не раздаёт IP-адреса по DHCP,Infrastructure,Network,2026-04-20T20:50:48.059870,маршрутизатор раздавать ipадрес dhcp
19,Не обновляются базы антивируса уже второй дней,Security,Antivirus,2026-04-20T20:50:48.059903,обновляться база антивирус второй день
20,Требуется настроить новое правило DLP для защиты финансовая отчётность,Security,DLP,2026-04-20T20:50:48.059928,требоваться настроить новый правило dlp защита финансовый отчётность
21,"Не удаётся удалить карантинный файл, доступ запрещён",Security,Antivirus,2026-04-20T20:50:48.059985,удаваться удалить карантинный файл доступ запретить
22,1С зависает при формировании отчёта по налогам,BusinessApps,1C,2026-04-20T20:50:48.060019,зависать формирование отчёт налог
23,"Мышь не работает, пробовал перетыкать в разные USB",Workplace,Periphery,2026-04-20T20:50:48.060046,мышь работать пробовать перетыкать разный usb
24,Не всё ещё могу подключиться к корпоративному порталу из дома,Workplace,RemoteAccess,2026-04-20T20:50:48.060092,всё ещё мочь подключиться корпоративный портал дом
25,Сервер srv-web-4 не отвечает на запросы помогите,Infrastructure,Servers,2026-04-20T20:50:48.060129,сервер srvweb отвечать запрос помочь
26,Ошибка в логах Event Log: Connection refused,Infrastructure,Servers,2026-04-20T20:50:48.060157,ошибка лог event log connection refused
27,Графики в Zabbix не обновляются уже 24 часов,Infrastructure,Monitoring,2026-04-20T20:50:48.060201,графика zabbix обновляться час
28,Оповещения в Telegram не приходят от бота мониторинга,Infrastructure,Monitoring,2026-04-20T20:50:48.060225,оповещение telegram приходить бот мониторинг
29,"Блокировка записи всё ещё в базе 1С, пользователь petrova удерживает",BusinessApps,1C,2026-04-20T20:50:48.060262,блокировка запись всё ещё база пользователь petrova удерживать
30,Citrix помогите вылетает при запуске приложения Photoshop,Workplace,RemoteAccess,2026-04-20T20:50:48.060293,citrix помочь вылетать запуск приложение photoshop
31,"Наушники не определяются, звук идёт через динамики",Workplace,Periphery,2026-04-20T20:50:48.060319,наушник определяться звук идти динамика
32,"Компьютер не входит в домен, ошибка {err_msg}",Workplace,PCAdmin,2026-04-20T20:50:48.060351,компьютер входить домен ошибка errmsg
33,Требуется выдать доступ к ресурсу 1C:Enterprise для роли Аналитик,Security,AccessControl,2026-04-20T20:50:48.060401,требоваться выдать доступ ресурс centerprise роль аналитик
34,Требуется проверить логи DLP на предмет утечки по ключу номер карты,Security,DLP,2026-04-20T20:50:48.060428,требоваться проверить лог dlp предмет утечка ключ номер карта
35,"Не пингуется сервер 10.0.181.244, вся сеть легла",Infrastructure,Network,2026-04-20T20:50:48.060475,пинговаться сервер весь сеть лечь
36,Не приходит уведомление о подписании документа,BusinessApps,DocumentFlow,2026-04-20T20:50:48.060509,приходить уведомление подписание документ
37,Требуется установить срочно ПО Notepad++ на рабочую станцию,Workplace,PCAdmin,2026-04-20T20:50:48.060552,требоваться установить срочно notepad рабочий станция
38,Не работает поиск по реквизитам в системе пожалуйста документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.060594,работать поиск реквизит система пожалуйста документооборот
39,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.060617,прийти письмо подозрительный ссылка возможно фишинга
40,Полное сканирование зависло на файле база_клиентов.db уже,Security,Antivirus,2026-04-20T20:50:48.060663,полный сканирование зависнуть файл базаклиентовdb
41,пожалуйста Не подключается RDP к рабочему компьютеру,Workplace,RemoteAccess,2026-04-20T20:50:48.060714,пожалуйста подключаться rdp рабочий компьютер
42,Не обновляется конфигурация 1С до версии 8.3.24,BusinessApps,1C,2026-04-20T20:50:48.060753,обновляться конфигурация версия
43,Попытка несанкционированного копирования данных на USB,Security,DLP,2026-04-20T20:50:48.060782,попытка несанкционированный копирование данные usb
44,Не обновляется конфигурация 1С до версии 8.3.22,BusinessApps,1C,2026-04-20T20:50:48.060804,обновляться конфигурация версия
45,Медленная работа 1С при открытии справочника Контрагенты,BusinessApps,1C,2026-04-20T20:50:48.060842,медленный работа открытие справочник контрагент
46,"всё ещё Не запускается специализированное ПО MATLAB, ошибка License error",BusinessApps,SpecialSoftware,2026-04-20T20:50:48.060883,всё ещё запускаться специализировать matlab ошибка license error
47,Система мониторинга уже не присылает алерты,Infrastructure,Monitoring,2026-04-20T20:50:48.060911,система мониторинг присылать алерот
48,"Не обновляется система, ошибка кода ERR_CONNECTION_TIMED_OUT",Workplace,OS,2026-04-20T20:50:48.060935,обновляться система ошибка код errconnectiontimedout
49,"Блокировка записи в базе 1С, пользователь sidorov удерживает",BusinessApps,1C,2026-04-20T20:50:48.060981,блокировка запись база пользователь sidorov удерживать
50,Расписание бэкапов сбилось после обновления,Infrastructure,Backup,2026-04-20T20:50:48.061003,расписание бэкап сбиться обновление
51,Обновление CorelDRAW сломало существующий функционал интеграция с 1С,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.061048,обновление coreldraw сломать существующий функционал интеграция
52,Поле Ответственный не отображается в форме создания сделки,BusinessApps,CRM,2026-04-20T20:50:48.061074,поле ответственный отображаться форма создание сделка
53,Превышен лимит дискового пространства на D:,Infrastructure,Servers,2026-04-20T20:50:48.061098,превысить лимит дисковый пространство
54,Не обновляется конфигурация 1С до версии 8.3.24,BusinessApps,1C,2026-04-20T20:50:48.061124,обновляться конфигурация версия
55,Не работает экспорт данных из MATLAB в формат .xml,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.061150,работать экспорт данные matlab формат xml
56,"Ошибка аутентификации в корпоративном портале, код AUTH_001",Security,AccessControl,2026-04-20T20:50:48.061174,ошибка аутентификация корпоративный портал код auth
57,Нужно добавить опять пользователя в локальную группу Administrators,Workplace,PCAdmin,2026-04-20T20:50:48.061201,нужно добавить пользователь локальный группа administrators
58,Пропадает звук после выхода из спящего режима,Workplace,OS,2026-04-20T20:50:48.061222,пропадать звук выход спать режим
59,Не работает удалённый рабочий стол через браузер,Workplace,RemoteAccess,2026-04-20T20:50:48.061249,работать удалённый рабочий стол браузер
60,Маршрут согласования документа DOC-38925 завис на этапе Согласование,BusinessApps,DocumentFlow,2026-04-20T20:50:48.061278,маршрут согласование документ doc зависнуть этап согласование
61,Превышен лимит на количество активных документов у пользователя,BusinessApps,DocumentFlow,2026-04-20T20:50:48.061305,превысить лимит количество активный документ пользователь
62,Требуется проверить логи DLP на предмет утечки по ключу номер карты,Security,DLP,2026-04-20T20:50:48.061329,требоваться проверить лог dlp предмет утечка ключ номер карта
63,Не отображается статус сервиса Elasticsearch в дашборде,Infrastructure,Monitoring,2026-04-20T20:50:48.061358,отображаться статус сервис elasticsearch дашборд
64,Не восстанавливается всё ещё файл из архива за прошлой недели,Infrastructure,Backup,2026-04-20T20:50:48.061400,восстанавливаться всё ещё файл архив прошлый неделя
65,Не работает резервное копирование баз пожалуйста данных уже неделю день,Infrastructure,Backup,2026-04-20T20:50:48.061436,работать резервный копирование база пожалуйста данные неделя день
66,Падение службы Elasticsearch на производственном сервере,Infrastructure,Servers,2026-04-20T20:50:48.061466,падение служба elasticsearch производственный сервер
67,"Тормозит система, процесс svchost.exe грузит процессор",Workplace,OS,2026-04-20T20:50:48.061489,тормозить система процесс svchostexe грузить процессор
68,срочно Требуется создать новую учётную запись для сотрудника Сидоров П.К.,Security,AccessControl,2026-04-20T20:50:48.061538,срочно требоваться создать новый учётный запись сотрудник сидоров
69,Маршрут согласования опять документа DOC-18099 завис на этапе Архивация,BusinessApps,DocumentFlow,2026-04-20T20:50:48.061573,маршрут согласование документ doc зависнуть этап архивация
70,"Антивирус блокирует программу {app}, хотя она безопасна",Security,Antivirus,2026-04-20T20:50:48.061609,антивирус блокировать программа app хотя безопасный
71,Ложное срабатывание мониторинга на Disk I/O,Infrastructure,Monitoring,2026-04-20T20:50:48.061647,ложный срабатывание мониторинг disk
72,"VPN не подключается к офису, пишет ошибку 0x80070005",Infrastructure,Network,2026-04-20T20:50:48.061670,vpn подключаться офис писать ошибка
73,"Тормозит система, процесс chrome.exe грузит процессор",Workplace,OS,2026-04-20T20:50:48.061706,тормозить система процесс chromeexe грузить процессор
74,"Наушники не определяются, звук всё ещё идёт через динамики",Workplace,Periphery,2026-04-20T20:50:48.061735,наушник определяться звук всё ещё идти динамика
75,всё ещё Проверка целостности бэкапа завершилась с ошибкой,Infrastructure,Backup,2026-04-20T20:50:48.061766,всё ещё проверка целостность бэкап завершиться ошибка
76,"Пришло письмо с подозрительной ссылкой, возможно фишинг",Security,DLP,2026-04-20T20:50:48.061791,прийти письмо подозрительный ссылка возможно фишинга
77,Падение AutoCAD при обработке файла большого размера,BusinessApps,SpecialSoftware,2026-04-20T20:50:48.061828,падение autocad обработка файл большой размер
78,Не работает поиск уже по реквизитам в системе документооборота,BusinessApps,DocumentFlow,2026-04-20T20:50:48.061881,работать поиск реквизит система документооборот
79,"Забыл пароль от AD, нужно сбросить срочно",Security,AccessControl,2026-04-20T20:50:48.061910,забыть пароль нужно сбросить срочно
